Country,Received Antiretrovirals,Needing antiretrovirals,Percentage Recieved,Needing antiretrovirals_median,Needing antiretrovirals_min,Needing antiretrovirals_max,Percentage Recieved_median,Percentage Recieved_min,Percentage Recieved_max,WHO Region
Panama,190,500,92,500,200,500,92,83,95,Americas
Papua New Guinea,960,1200,79,1200,910,1500,79,59,95,Western Pacific
Paraguay,250,500,88,500,200,500,88,60,95,Americas
Peru,930,1100,85,1100,880,1500,85,67,95,Americas
Philippines,70,500,18,500,500,500,18,15,22,Western Pacific
Poland,0,0,0,0,0,0,0,0,0,Europe
Portugal,0,200,0,200,100,200,0,0,0,Europe
Qatar,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Republic of Korea,0,0,0,0,0,0,0,0,0,Western Pacific
Republic of Moldova,180,500,73,500,200,500,73,54,95,Europe
Republic of North Macedonia,0,0,0,0,0,0,0,0,0,Europe
Romania,230,200,95,200,200,200,95,95,95,Europe
Russian Federation,13 600,0,0,0,0,0,0,0,0,Europe
Rwanda,8600,8100,95,8100,6000,9400,95,79,95,Africa
Saudi Arabia,40,0,0,0,0,0,0,0,0,Eastern Mediterranean
Senegal,1400,2200,65,2200,1800,2500,65,56,75,Africa
Serbia,0,0,0,0,0,0,0,0,0,Europe
Sierra Leone,4400,0,0,0,0,0,0,0,0,Africa
Singapore,20,0,0,0,0,0,0,0,0,Western Pacific
Slovakia,0,0,0,0,0,0,0,0,0,Europe
Slovenia,0,0,0,0,0,0,0,0,0,Europe
Somalia,90,500,19,500,500,730,19,14,31,Eastern Mediterranean
South Africa,248 000,290000,87,290000,210000,350000,87,63,95,Africa
South Sudan,5500,9900,56,9900,7200,13000,56,41,74,Africa
Spain,0,500,0,500,200,500,0,0,0,Europe
Sri Lanka,20,0,0,0,0,0,0,0,0,South-East Asia
Sudan,100,2000,5,2000,760,3700,5,2,9,Eastern Mediterranean
Suriname,90,100,95,100,100,100,95,84,95,Americas
Sweden,0,0,0,0,0,0,0,0,0,Europe
Switzerland,0,0,0,0,0,0,0,0,0,Europe
Syrian Arab Republic,10,0,0,0,0,0,0,0,0,Eastern Mediterranean
Tajikistan,220,500,46,500,500,560,46,39,56,Europe
Thailand,3800,3900,95,3900,3200,4500,95,81,95,South-East Asia
Timor-Leste,0,0,0,0,0,0,0,0,0,South-East Asia
Togo,4300,5400,80,5400,4200,6200,80,62,92,Africa
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,Americas
Tunisia,10,0,0,0,0,0,0,0,0,Eastern Mediterranean
Turkey,0,0,0,0,0,0,0,0,0,Europe
Turkmenistan,0,0,0,0,0,0,0,0,0,Europe
Uganda,94 800,100000,93,100000,81000,120000,93,73,95,Africa
Ukraine,2200,2200,95,2200,1900,2500,95,89,95,Europe
United Arab Emirates,10,0,0,0,0,0,0,0,0,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,Europe
United Republic of Tanzania,77 000,83000,93,83000,62000,98000,93,70,95,Africa
United States of America,0,0,0,0,0,0,0,0,0,Americas
Uruguay,140,200,95,200,100,200,95,71,95,Americas
Uzbekistan,540,1500,35,1500,1400,1600,35,33,38,Europe
Venezuela (Bolivarian Republic of),410,0,0,0,0,0,0,0,0,Americas
Viet Nam,1900,2400,81,2400,2000,2800,81,69,95,Western Pacific
Yemen,30,500,13,500,200,500,13,8,20,Eastern Mediterranean
Zambia,56 500,48000,95,48000,38000,57000,95,94,95,Africa
Zimbabwe,59 600,63000,94,63000,48000,76000,94,71,95,Africa
